%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w
1714581008241369036,540,1714581007320239870,robot/map,1.1716537138540208,1.339362820240639,0.0,0.0,0.0,0.03209316339354406,0.9994848817582962
1714581008241369036,541,1714581007420616980,robot/map,1.1698651721285416,1.3409248244679612,0.0,0.0,0.0,0.046152505519060444,0.9989344053712
1714581008241369036,542,1714581007519593425,robot/map,1.1683115812754352,1.3371224559978365,0.0,0.0,0.0,0.060482229544778845,0.9981692741761252
1714581008241369036,543,1714581007618652425,robot/map,1.1933983889755857,1.4227689201604388,0.0,0.0,0.0,0.07740587424051333,0.9969996643094028
1714581008241369036,544,1714581007718193980,robot/map,1.1842576359552128,1.4235365647065186,0.0,0.0,0.0,0.09837862530066747,0.9951490572190433
1714581008241369036,545,1714581007817409760,robot/map,1.1870608826423004,1.4497067535153454,0.0,0.0,0.0,0.12259520161807758,0.9924567580203295
1714581008241369036,546,1714581007917363315,robot/map,1.1823087046550143,1.5024166310828027,0.0,0.0,0.0,0.14806455676701882,0.9889776979433794
1714581008241369036,547,1714581008016438205,robot/map,1.1797718236758274,1.5048038555129277,0.0,0.0,0.0,0.17681008662850098,0.984244986406546
1714581008382340649,548,1714581008115937650,robot/map,1.1962796425130877,1.4990103495717804,0.0,0.0,0.0,0.20692775559194637,0.9783562254954377
1714581008442774551,549,1714581008215865650,robot/map,1.1988071907840718,1.4893686410102427,0.0,0.0,0.0,0.23906072577536994,0.9710046186253458
1714581008442774551,550,1714581008315532095,robot/map,1.2055483112113752,1.500285374515656,0.0,0.0,0.0,0.2731676622340743,0.9619664382448957
1714581008613942612,551,1714581008415208985,robot/map,1.1939671315809526,1.5159837539753305,0.0,0.0,0.0,0.3053775014333829,0.9522313697932369
1714581008754924010,552,1714581008514745985,robot/map,1.206932041177121,1.5047380039419294,0.0,0.0,0.0,0.3371704308883361,0.941443625786788
1714581008825456266,553,1714581008615174095,robot/map,1.2017101554546814,1.5064816042083564,0.0,0.0,0.0,0.3710322181979753,0.9286199938936756
1714581008966650848,554,1714581008715203540,robot/map,1.2021907863771322,1.5120244553444142,0.0,0.0,0.0,0.4012158812196757,0.9159835242279847
