%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
1714581030192845356,40093,1714581030166208531,robot/map,,1.698230025405061,1.2933850000282479,0.0,0.0,0.0,0.14379249290497523,0.9896078612178526,-0.00045427873994517524,0.0001760434305666026,0.0,0.0,0.0,0.5497701732086169
1714581030195365182,40094,1714581030174213158,robot/map,,1.6982276635930502,1.293385309645226,0.0,0.0,0.0,0.1464188433860559,0.9892226859011523,-0.0003452299705152739,0.00010350256418609486,0.0,0.0,0.0,0.5403296384666206
1714581030195378682,40095,1714581030182221790,robot/map,,1.6982252989939042,1.293385607028806,0.0,0.0,0.0,0.14897763495769692,0.9888405656537413,-0.00029084494255978864,6.662046109222471e-05,0.0,0.0,0.0,0.528881535432447
1714581030237120076,40096,1714581030190451829,robot/map,,1.6982219865305341,1.2933822858778905,0.0,0.0,0.0,0.15153235292173842,0.988452298301745,-0.0003110456397819991,-0.00013274731522348106,0.0,0.0,0.0,0.5228462461409904
1714581030237127608,40097,1714581030198230479,robot/map,,1.698223654481346,1.2933922094534136,0.0,0.0,0.0,0.15390272394080645,0.988086004133041,-7.212527929539067e-05,0.0004298051185430803,0.0,0.0,0.0,0.5012737629276262
1714581030243845651,40098,1714581030206190269,robot/map,,1.6982287782915624,1.2934029696824012,0.0,0.0,0.0,0.15630039867406975,0.9877095652945388,0.0002201278711690164,0.0007529140086518003,0.0,0.0,0.0,0.49334150064550425
1714581030243859495,40099,1714581030214289512,robot/map,,1.6982337631889186,1.2934190342514091,0.0,0.0,0.0,0.1587197123634615,0.987323681933772,0.00035930880339603483,0.0011796854547226092,0.0,0.0,0.0,0.49166029495236396
1714581030250660243,40100,1714581030222187934,robot/map,,1.6982385483464915,1.2934347245889926,0.0,0.0,0.0,0.16110697662716297,0.9869369493954793,0.00041891228034055775,0.0013743596065322202,0.0,0.0,0.0,0.4876688451948424
1714581030250665221,40101,1714581030230226804,robot/map,,1.6982316547032306,1.2934274677046902,0.0,0.0,0.0,0.1636212147864364,0.9865232374717845,-0.00013522602287456158,0.00032433558814788026,0.0,0.0,0.0,0.498639339938616
1714581030257671153,40102,1714581030238300199,robot/map,,1.6982343982777317,1.2934183754285618,0.0,0.0,0.0,0.16622034336323033,0.9860886356977296,6.95657136197492e-05,-0.00029244601234814825,0.0,0.0,0.0,0.5128410558070835
1714581030257682892,40103,1714581030246173651,robot/map,,1.698237123398996,1.293410160621006,0.0,0.0,0.0,0.168890333327483,0.9856348488707832,0.00017103892001997967,-0.0005569633839616181,0.0,0.0,0.0,0.5272483953167898
1714581030286367128,40104,1714581030254371420,robot/map,,1.6982426567181734,1.293413779397916,0.0,0.0,0.0,0.17174318099635258,0.9851417561860091,0.0003621854188859777,-9.754284648539377e-05,0.0,0.0,0.0,0.5531390689900508
1714581030304847440,40105,1714581030262188783,robot/map,,1.6982479133584505,1.2934172603488046,0.0,0.0,0.0,0.17452943146131986,0.984651957573735,0.0004439247232961203,0.00012527612118959066,0.0,0.0,0.0,0.5594670366328415
1714581030304861412,40106,1714581030270255688,robot/map,,1.6982402149742892,1.2934177721844535,0.0,0.0,0.0,0.1774416063084986,0.9841313308449537,-0.00016295684641487917,8.822984304355925e-05,0.0,0.0,0.0,0.5755682849366439
1714581030304880819,40107,1714581030278217626,robot/map,,1.698233041152891,1.2934110521955597,0.0,0.0,0.0,0.18033677410241922,0.9836049247062222,-0.0004401694931201484,-0.00029188452316764805,0.0,0.0,0.0,0.5820477356325315
1714581030304891802,40108,1714581030286192047,robot/map,,1.698228133398035,1.2934048733238044,0.0,0.0,0.0,0.18324732443695874,0.9830668431427723,-0.0004654724893633234,-0.0004548858493517199,0.0,0.0,0.0,0.5870110536003709
1714581030304946446,40109,1714581030294394567,robot/map,,1.698221956004697,1.2933951557527268,0.0,0.0,0.0,0.18625530749759805,0.9825013793521998,-0.000541605911580132,-0.000713321478555575,0.0,0.0,0.0,0.5995728184924796
1714581030353231699,40110,1714581030302175063,robot/map,,1.6982161512517246,1.293385903500206,0.0,0.0,0.0,0.18908062288430846,0.9819615664829667,-0.0005610406044047545,-0.0008192733653176475,0.0,0.0,0.0,0.5874287335455762
